Pass_Rk,Team,Pts/G,TotPts,TotYards,Comp,Att,Comp_Pct,Att/G,Pass_Yds,Pass_Avg,Pass_Yds/G,Pass_TD,Int,Pass_1st%,Pass_Lng,Pass_20+,Pass_40+,Sck,Sck_Rate,Run_Rk,Run_Att,Run_Att/G,Rush_Yds,Rush_Avg,Rush_Yds/G,Rush_TD,Run_Lng,Run_1st%,Run_20+,Run_40+,FUM
4,Arizona Cardinals,26.6,425,5741.00,342,506,67.6,31.6,3262,7.1,203.9,21,7,36.8,64,37,5,49,96.1,32,510,31.9,2479,4.9,154.9,25,65,27.3,21,4,3
27,Atlanta Falcons,26.4,423,6152.00,398,585,68,36.6,4153,7.5,259.6,33,15,38.6,58,46,7,37,98.3,25,409,25.6,1999,4.9,124.9,16,92,28.1,13,1,10
5,Baltimore Ravens,17.9,287,4687.00,337,577,58.4,36.1,3360,6.3,210,21,12,30.2,64,44,7,43,80.6,4,354,22.1,1327,3.7,82.9,11,35,23.2,6,0,2
1,Buffalo Bills,23.4,374,4706.00,313,492,63.6,30.8,2867,6.3,179.2,22,16,31.9,43,36,2,36,82.6,16,440,27.5,1839,4.2,114.9,17,43,25.2,12,1,10
18,Carolina Panthers,23.9,382,5651.00,353,529,66.7,33.1,3847,7.7,240.4,32,13,35,75,51,12,35,99.6,12,384,24,1804,4.7,112.8,13,60,28.6,17,2,9
7,Chicago Bears,17.7,283,4795.00,377,615,61.3,38.4,3515,6.3,219.7,22,27,30.2,75,39,9,50,72.9,1,339,21.2,1280,3.8,80,5,32,19.8,7,0,5
32,Cincinnati Bengals,28.4,455,6618.00,389,584,66.6,36.5,4414,7.9,275.9,32,12,37.8,72,60,13,34,100,29,466,29.1,2204,4.7,137.8,17,65,26.8,15,2,3
25,Cleveland Browns,24.5,392,6288.00,393,626,62.8,39.1,4125,7,257.8,21,17,34.5,67,51,8,37,83.4,28,459,28.7,2163,4.7,135.2,20,52,28.3,18,1,6
13,Dallas Cowboys,20.2,324,5268.00,367,542,67.7,33.9,3755,7.4,234.7,22,9,35.6,53,43,7,39,95.7,5,400,25,1513,3.8,94.6,12,68,22.3,9,1,7
20,Denver Broncos,21.8,349,5842.00,353,549,64.3,34.3,3929,7.7,245.6,26,17,35.9,97,56,9,44,90.7,21,429,26.8,1913,4.5,119.6,11,77,19.8,15,5,6
8,Detroit Lions,22.5,360,5360.00,323,496,65.1,31,3599,7.9,224.9,29,7,38.5,82,50,10,43,102.7,10,403,25.2,1761,4.4,110.1,11,70,21.8,9,5,5
12,Green Bay Packers,25,400,5670.00,336,527,63.8,32.9,3752,7.7,234.5,30,7,37.8,75,54,7,44,100.9,22,446,27.9,1918,4.3,119.9,15,41,22.4,10,1,6
28,Houston Texans,19.8,316,5490.00,385,594,64.8,37.1,4167,7.5,260.4,28,15,33.7,83,55,13,43,92.7,3,385,24.1,1323,3.4,82.7,8,39,19.7,3,0,6
16,Indianapolis Colts,21.5,344,5431.00,384,542,70.8,33.9,3805,7.4,237.8,21,15,37.5,80,41,4,38,93.5,8,415,25.9,1626,3.9,101.6,12,34,21,11,0,5
2,Jacksonville Jaguars,19.8,316,4983.00,312,499,62.5,31.2,3113,6.7,194.6,17,11,32.5,78,37,6,37,84.4,19,434,27.1,1870,4.3,116.9,16,99,20.5,11,5,5
31,Kansas City Chiefs,26.3,421,6488.00,406,632,64.2,39.5,4374,7.5,273.4,30,15,39.1,49,65,8,52,92.7,27,425,26.6,2114,5,132.1,19,30,30.4,11,0,6
9,Los Angeles Chargers,20.6,329,5339.00,351,548,64.1,34.2,3646,7.1,227.9,23,13,32.5,82,52,9,38,89.1,9,395,24.7,1693,4.3,105.8,11,43,25.6,11,3,6
14,Los Angeles Rams,24,384,5737.00,347,533,65.1,33.3,3780,7.7,236.2,31,18,34.7,73,59,14,41,93.8,23,386,24.1,1957,5.1,122.3,12,51,26.2,17,1,4
21,Miami Dolphins,27.1,433,6257.00,335,508,65.9,31.8,3932,8.2,245.8,31,21,38.4,73,59,11,31,94.1,31,485,30.3,2325,4.8,145.3,17,71,23.9,20,3,3
3,Minnesota Vikings,21.3,341,4955.00,315,503,62.6,31.4,3140,7,196.2,15,12,31.8,70,43,10,50,83.3,15,440,27.5,1815,4.1,113.4,13,75,24.3,7,3,12
22,New England Patriots,20.3,325,5746.00,370,605,61.2,37.8,3943,6.9,246.4,29,18,34.4,75,57,9,30,85.4,11,367,22.9,1803,4.9,112.7,7,54,25.3,11,1,8
29,New Orleans Saints,22.1,353,5585.00,384,573,67,35.8,4302,8.1,268.9,30,12,39.1,75,57,14,49,100.3,2,356,22.2,1283,3.6,80.2,12,28,20.2,7,0,4
23,New York Giants,25.8,412,5942.00,362,560,64.6,35,4044,7.6,252.8,24,16,36.6,79,61,8,30,89.8,20,444,27.8,1898,4.3,118.6,18,64,23.2,11,3,7
24,New York Jets,27.6,441,6086.00,367,582,63.1,36.4,4065,7.5,254.1,29,13,34.5,70,58,11,39,93.1,26,440,27.5,2021,4.6,126.3,16,38,23.6,24,0,4
19,Oakland Raiders,29.2,467,6102.00,299,480,62.3,30,3853,8.2,240.8,36,14,37.1,89,59,15,13,101,30,480,30,2249,4.7,140.6,16,63,22.5,12,7,6
30,Philadelphia Eagles,21.8,348,5859.00,417,626,66.6,39.1,4308,7.4,269.2,22,10,34.3,75,60,6,44,93.4,7,332,20.8,1551,4.7,96.9,14,90,21.4,14,4,6
10,Pittsburgh Steelers,22.5,360,5235.00,362,566,64,35.4,3697,7.1,231.1,27,8,35.3,71,53,7,52,95.2,6,369,23.1,1538,4.2,96.1,13,51,22.8,10,1,5
11,San Francisco 49ers,27.2,435,5546.00,344,542,63.5,33.9,3732,7.3,233.2,35,2,36,75,49,9,37,105.4,14,444,27.8,1814,4.1,113.4,13,34,23.4,11,0,6
17,Seattle Seahawks,21.7,347,5653.00,355,546,65,34.1,3842,7.5,240.1,26,12,36.8,75,58,8,43,94.3,13,366,22.9,1811,4.9,113.2,9,59,24.9,14,2,7
26,Tampa Bay Buccaneers,29,464,6134.00,387,534,72.5,33.4,4151,8.2,259.4,34,9,39.1,75,56,6,38,110.9,24,426,26.6,1983,4.7,123.9,19,53,28.6,17,2,5
6,Tennessee Titans,18.9,303,5334.00,337,533,63.2,33.3,3471,7,216.9,21,11,34.1,75,48,7,39,88.4,18,429,26.8,1863,4.3,116.4,9,97,22.8,7,1,2
15,Washington Redskins,22.4,359,5654.00,362,537,67.4,33.6,3794,7.6,237.1,27,15,36.7,90,52,9,46,95.1,17,413,25.8,1860,4.5,116.2,12,78,26.4,6,2,3
